ID,DRF,CFW,STPM
130,0.4,0.045,0.0055
131,0.4,0.045,0.006999999999999999
132,0.4,0.045,0.008499999999999999
133,0.4,0.045,0.009999999999999998
134,0.4,0.049999999999999996,0.001
135,0.4,0.049999999999999996,0.0025
136,0.4,0.049999999999999996,0.004
137,0.4,0.049999999999999996,0.0055
138,0.4,0.049999999999999996,0.006999999999999999
139,0.4,0.049999999999999996,0.008499999999999999
140,0.4,0.049999999999999996,0.009999999999999998
141,0.6000000000000001,0.005,0.001
142,0.6000000000000001,0.005,0.0025
143,0.6000000000000001,0.005,0.004
144,0.6000000000000001,0.005,0.0055
145,0.6000000000000001,0.005,0.006999999999999999
146,0.6000000000000001,0.005,0.008499999999999999
147,0.6000000000000001,0.005,0.009999999999999998
148,0.6000000000000001,0.01,0.001
149,0.6000000000000001,0.01,0.0025
150,0.6000000000000001,0.01,0.004
151,0.6000000000000001,0.01,0.0055
152,0.6000000000000001,0.01,0.006999999999999999
153,0.6000000000000001,0.01,0.008499999999999999
154,0.6000000000000001,0.01,0.009999999999999998
155,0.6000000000000001,0.015,0.001
156,0.6000000000000001,0.015,0.0025
157,0.6000000000000001,0.015,0.004
158,0.6000000000000001,0.015,0.0055
159,0.6000000000000001,0.015,0.006999999999999999
160,0.6000000000000001,0.015,0.008499999999999999
161,0.6000000000000001,0.015,0.009999999999999998
162,0.6000000000000001,0.02,0.001
163,0.6000000000000001,0.02,0.0025
164,0.6000000000000001,0.02,0.004
165,0.6000000000000001,0.02,0.0055
166,0.6000000000000001,0.02,0.006999999999999999
167,0.6000000000000001,0.02,0.008499999999999999
168,0.6000000000000001,0.02,0.009999999999999998
169,0.6000000000000001,0.025,0.001
170,0.6000000000000001,0.025,0.0025
171,0.6000000000000001,0.025,0.004
172,0.6000000000000001,0.025,0.0055
173,0.6000000000000001,0.025,0.006999999999999999
174,0.6000000000000001,0.025,0.008499999999999999
175,0.6000000000000001,0.025,0.009999999999999998
176,0.6000000000000001,0.030000000000000002,0.001
177,0.6000000000000001,0.030000000000000002,0.0025
178,0.6000000000000001,0.030000000000000002,0.004
179,0.6000000000000001,0.030000000000000002,0.0055
180,0.6000000000000001,0.030000000000000002,0.006999999999999999
181,0.6000000000000001,0.030000000000000002,0.008499999999999999
182,0.6000000000000001,0.030000000000000002,0.009999999999999998
183,0.6000000000000001,0.035,0.001
184,0.6000000000000001,0.035,0.0025
185,0.6000000000000001,0.035,0.004
186,0.6000000000000001,0.035,0.0055
187,0.6000000000000001,0.035,0.006999999999999999
188,0.6000000000000001,0.035,0.008499999999999999
189,0.6000000000000001,0.035,0.009999999999999998
190,0.6000000000000001,0.04,0.001
191,0.6000000000000001,0.04,0.0025
192,0.6000000000000001,0.04,0.004
193,0.6000000000000001,0.04,0.0055
194,0.6000000000000001,0.04,0.006999999999999999
195,0.6000000000000001,0.04,0.008499999999999999
196,0.6000000000000001,0.04,0.009999999999999998
197,0.6000000000000001,0.045,0.001
198,0.6000000000000001,0.045,0.0025
199,0.6000000000000001,0.045,0.004
200,0.6000000000000001,0.045,0.0055
201,0.6000000000000001,0.045,0.006999999999999999
202,0.6000000000000001,0.045,0.008499999999999999
